Sort,Dates,"Average Number of Operators, Mon-Fri, (7:00AM-3:00PM) ","Average Number of Operators, Mon-Fri, (3:00PM-11:00PM) ","Average Number of Operators, Mon-Fri, (11:00PM-7:00AM) ","Average Number of Operators, Sat-Sun, (7:00AM-3:00PM) ","Average Number of Operators, Sat-Sun, (3:00PM-11:00PM) ","Average Number of Operators, Sat-Sun, (11:00PM-7:00AM) ",Call Volume (7:00AM-3:00PM) ,Call Volume (3:00PM-11:00PM) ,Call Volume (11:00PM-7:00AM) ,Efficiency (7:00AM-3:00PM) ,Efficiency (3:00PM-11:00PM) ,Efficiency (11:00PM-7:00AM) ,Utilization (7:00AM-3:00PM) ,Utilization (3:00PM-11:00PM) ,Utilization (11:00PM-7:00AM) ,Abandoned (7:00AM-3:00PM) ,Abandoned (3:00PM-11:00PM) ,Abandoned (11:00PM-7:00AM) ,Average Wait Time (seconds): 7:00AM-3:00PM,Average Wait Time (seconds): 3:00PM-11:00PM,Average Wait Time (seconds): 11:00PM-7:00AM
159,06/09/14-06/15/14,19,8,2,12,7,2,51034,32247,5357,66%,87%,89%,78%,76%,45%,29%,18%,14%,138,52,20
160,06/16/14-06/22/14,22,8,3,14,9,2,53677,37251,5526,77%,77%,93%,83%,78%,42%,24%,24%,9%,108,93,10
161,06/23/14-06/29-14,21,9,2,13,8,3,52639,37189,5109,69%,80%,94%,79%,77%,50%,27%,22%,8%,124,87,8
162,06/30/14-07/06/14,20,8,3,15,8,3,46241,32440,8119,68%,75%,87%,71%,72%,54%,34%,29%,15%,114,96,36
163,07/07/14-07/13/14,19,9,3,14,9,3,55989,33153,5167,66%,81%,93%,79%,75%,49%,32%,19%,9%,135,71,10
164,07/14/14-07/20/14,22,9,2,12,8,2,47041,33020,5074,81%,76%,93%,81%,74%,46%,20%,23%,9%,79,93,9
165,07/21/14-07/27/14,22,9,3,16,7,3,43826,30989,5282,91%,87%,91%,79%,74%,53%,12%,16%,11%,48,48,11
166,07/28/14-08/03/14,20,9,3,13,8,3,42693,27723,4627,84%,89%,93%,80%,73%,47%,16%,13%,9%,70,33,7
167,08/04/14-08/10/14,22,8,3,14,8,2,41395,28180,4608,87%,87%,92%,79%,74%,49%,14%,16%,11%,55,44,10
168,08/11/14-08/17/14,21,8,2,14,8,3,38506,26424,4274,90%,86%,92%,80%,73%,47%,11%,16%,10%,41,48,7
169,08/18/14-08/24/14,21,9,3,15,8,4,44050,31616,7354,85%,83%,75%,80%,76%,51%,15%,18%,25%,66,62,149
170,08/25/14-08/31/14,22,8,3,13,9,2,46411,31895,4484,0.84%,0.78%,0.94%,79%,73%,46%,19%,19%,8%,76,82,8
171,09/01/14-09/07/14,21,9,2,13,7,3,66582,29491,4846,72%,82%,92%,73%,71%,45%,57%,18%,9%,154,63,9
172,09/08/14-09/14/14,21,9,3,15,6,2,42476,26283,3871,81%,89%,93%,77%,75%,47%,18%,14%,8%,78,36,7
173,9/15/14 - 9/21/14,20,9,3,11,8,3,40907,26631,3740,83%,86%,95%,81%,70%,43%,16%,15%,6%,74,57,5
174,09/22/14-09/28/14,20,9,3,11,9,2,41576,25694,4118,85%,88%,93%,81%,71%,48%,15%,14%,10%,65,37,8
175,9/29/14-10/5/14,21,9,2,12,7,2,40361,24775,3883,83%,88%,92%,79%,76%,48%,16%,14%,10%,65,42,6
176,10/6/14-10/12/14,21,8,2,14,7,2,34063,22836,3436,93%,87%,92%,78%,71%,45%,8%,13%,10%,23,39,6
177,10/13/14-10/19/14,21,8,3,11,7,2,36876,23725,4103,90%,86%,95%,78%,71%,39%,11%,15%,6%,40,45,2
178,10/20/14-10/26/14,23,8,3,12,8,1,35285,23085,3569,94%,88%,94%,78%,70%,39%,7%,12%,7%,18,35,5
179,10/27/14-11/2/14,21,9,3,12,7,2,40229,25701,3830,89%,88%,93%,81%,71%,40%,13%,14%,9%,46,44,7
180,11/2/14-11/9/14,21,9,2,13,9,3,37229,23805,3471,91%,92%,92%,77%,66%,42%,12%,10%,9%,46,28,12
181,11/10/14 - 11/16/14,21,8,3,11,9,2,34112,22140,3041,91%,92%,95%,81%,67%,40%,11%,10%,7%,34,22,5
182,11/17/14 -11/23/14,19,8,3,13,9,1,34331,25252,3564,89%,87%,92%,78%,68%,46%,13%,15%,9%,51,43,10
183,11/24/14 - 11/30/14,18,8,3,15,8,2,24763,19065,3211,95%,91%,94%,64%,61%,36%,6%,9%,7%,16,24,5
184,12/1/14 - 12/7/14,19,8,3,11,8,1,33343,22529,3210,87%,91%,94%,79%,68%,40%,14%,12%,7%,52,26,4
185,12/8/14 - 12/14/14,19,7,2,13,6,3,28149,19085,3178,93%,92%,92%,76%,70%,39%,9%,10%,10%,23,13,6
186,12/15/14 - /12/21/14,19,8,3,13,6,2,27838,20348,3190,92%,90%,95%,78%,69%,38%,10%,11%,6%,26,23,3
187,12/22/14 - 12/28/14,19,6,2,13,7,2,20270,14594,3541,95%,94%,95%,63%,57%,37%,6%,7%,6%,13,7,3
188,12/29/14 - 1/4/15,21,8,3,11,7,2,25049,18429,4398,95%,93%,92%,69%,64%,42%,7%,8%,10%,18,14,14
189,1/5/15 - 1/11/15,20,8,2,13,6,2,35858,28869,4754,90%,85%,89%,81%,74%,50%,14%,17%,13%,50,55,19
190,1/12/15 - 1/18/15,22,7,2,16,7,2,33008,23820,3940,88%,87%,86%,74%,68%,42%,12%,14%,15%,47,41,54
191,1/19/15 - 1/25/15,23,8,3,12,8,3,28573,20527,2979,95%,89%,94%,72%,68%,41%,7%,12%,8%,19,31,6
192,1/26/15 - 2/1/15,23,8,3,17,9,2,28641,27988,4392,95%,84%,94%,76%,70%,40%,6%,18%,7%,15,55,6
193,2/2/15 - 2/8/15,20,7,4,12,6,3,64929,45779,8532,61%,61%,73%,78%,74%,56%,50%,43%,26%,138,163,101
